Item Name,Description,Mfg Part #,Category,Rate,Item Type
Aprilair E070 WiFi Dehumidifier,This AprilAire Model E070W looks like a solid choice for crawl space or basement moisture control. Here are the key highlights:\CRMain Features:\CR\CRCapaci,'00686720026621',Sales:Dehumidifier,2863.59000,Inventory
Aprilaire E100DW WiFi Dehumid.,E100DW (this model):\CR\CRHigher Capacity: 100 pints (12.5 gallons) per day\CRFlexible Control Panel: Can mount on top OR front of unit for easier access\CRSa,'686720026652',Sales:Dehumidifier,3295.59000,Inventory
ATMOX Dead Corner Fan,ATMOX DEAD CORNER FAN 01-360-100 \CR- INCLUDES FREE SHIPPING \CR- 90 DAY WARRANTY BY GIESBRECHT - PRODUCT HAS TO BE RETURNED TO GIESBRECHT FOR WARRANTY,01-360-100,Ventilation Products:ATMOX Ventilation,278.67000,Non Inventory
Atmox Moisture Control System,INSTALL ATMOX CRAWL SPACE HUMIDITY CONTROL SYSTEM WITH MONITOR \CRTHIS SYSTEM SENSES WOOD MOISTURE AS WELL AS RELATIVE HUMIDITY IN THE CRAWL SPACE\CRDESIG,,Ventilation Products:ATMOX Ventilation,5744.00000,Non Inventory
Atmox Pipe Fan,ATMOX PIPE FAN 01-380-201\CR- INCLUDES FREE SHIPPING \CR- 90 DAY WARRANTY BY GIESBRECHT - PRODUCT HAS TO BE RETURNED TO GIESBRECHT FOR WARRANTY VERIFICA,01-380-201,Ventilation Products:ATMOX Ventilation,410.67000,Non Inventory
Attic Stairway,,,Sales,0.00000,Inventory
Attic Zipper Cover,NSTALL ATTIC ZIPPER COMPLETE INCLUDING  -1) INSTALL SOLID BASE FOR MOUNTING THE COVER TO  -2) INSTALL SEALANT TO MAKE COVER AIRTIGHT -3) 1 YR. REPLACE,,Service:Service Repairs:Home Energy Saving Products:Home Performance Services,646.67000,Non Inventory
Atttic Fan Motor,REPLACE ATTIC VENTILATION FAN MOTOR COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE (PART) -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER,,Service:Service Repairs:Motors,420.00000,Non Inventory
Augusta Office Rent,,,,0.00000,Non Inventory
BARD Wall Mount Unit,INSTALL 3 TON BARD WALL MOUNT HEAT PUMP PACKAGE UNIT COMPLETE \CRThis Installation Includes\CR-REMOVAL & DISPOSAL OF EXISTING HVAC\CREQUIPMENT\CR-DAILY JO,,Sales:BARD Wall Mount,6173.00000,Non Inventory
Basic Wire Repair,PERFORM BASIC WIRING REPAIR INCLUDING -1) REPLACE ALL DAMAGED CONNECTIONS AND DAMAGED WIRES -2)\CRPERFORM OPERATIONAL CHECKOUT OF ALL RELATED SYSTEMS,,Service:Service Repairs:Electrical Repairs,126.67000,Non Inventory
Bath Vent Installation,"INSTALL A BATH VENT DUCT UP TO 15', WITH A CAP TERMINATION.",,Sales:New Ductwork,500.00000,Inventory
Belt Drive Blower Motor,REPLACE INDOOR BLOWER MOTOR COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE MOTOR -2) MAKE ADJUSTMENT TO PULLEYS AND ALIGN BELT FOR PROPER OPER,,Service:Service Repairs:Motors,1571.71000,Non Inventory
Blower Door Test,PERFORM BLOWER DOOR TEST COMPLETE INCLUDING\CR- INCLUDES MAKING RECOMMENDATIONS TO REPAIR LEAKAGE ISSUES WITHIN THE HOME.,,Service:Service Repairs:Home Diagnosis Services,657.00000,Non Inventory
